district,district_code,urban_rural,age,gender,marital_status,relationship_to_head,household_size,household_type,literacy_status,education_level,labour_force_status,employment_status,individual_income,consumption_expenditure,social_group,synthetic_data_label
Kancheepuram,03,Rural,49,Male,2,2,4,Casual labour in agriculture,Literate,Higher Secondary,Employed,Employed,0.0,16665.0,Scheduled Caste,RESAMPLED_BASELINE
Vellore,04,Rural,36,Female,2,1,3,Regular wage/salary earning,Literate,Diploma/Certificate,Employed,Employed,25000.0,9353.0,Other Backward Class,RESAMPLED_BASELINE
Tiruvannamalai,05,Rural,75,Male,2,1,4,Regular wage/salary earning,Literate,Secondary,Not in labour force,Not in labour force,0.0,30823.0,Other Backward Class,RESAMPLED_BASELINE
Namakkal,08,Rural,12,Male,1,5,6,Regular wage/salary earning,Literate,Primary,Not in labour force,Not in labour force,0.0,10158.0,Other Backward Class,RESAMPLED_BASELINE
Tenkasi,33,Rural,45,Male,2,2,5,Regular wage/salary earning,Literate,Below Primary,Employed,Employed,0.0,11152.0,Scheduled Caste,RESAMPLED_BASELINE
Ranipet,35,Rural,16,Female,1,5,2,Self-employed in agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,4715.0,Other Backward Class,RESAMPLED_BASELINE
Kancheepuram,03,Rural,39,Male,2,1,4,Regular wage/salary earning,Literate,Secondary,Employed,Employed,26000.0,18597.0,Scheduled Caste,RESAMPLED_BASELINE
Cuddalore,16,Rural,52,Female,3,7,4,Regular wage/salary earning,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,9900.0,Scheduled Caste,RESAMPLED_BASELINE
Cuddalore,16,Rural,19,Male,1,5,4,Self-employed in non-agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,12925.0,Other Backward Class,RESAMPLED_BASELINE
Viluppuram,06,Rural,40,Male,2,3,6,Casual labour in non-agriculture,Literate,Higher Secondary,Employed,Employed,0.0,12933.0,Other Backward Class,RESAMPLED_BASELINE
Kancheepuram,03,Rural,29,Male,2,3,5,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,0.0,39367.0,Scheduled Caste,RESAMPLED_BASELINE
Ranipet,35,Rural,0,Female,1,6,7,Regular wage/salary earning,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,18158.0,Scheduled Caste,RESAMPLED_BASELINE
Ranipet,35,Rural,59,Male,2,7,6,Self-employed in agriculture,Illiterate,Not literate,Employed,Employed,0.0,13134.0,Other Backward Class,RESAMPLED_BASELINE
Dharmapuri,29,Rural,54,Male,2,1,5,Regular wage/salary earning,Literate,Below Primary,Employed,Employed,0.0,14844.0,Other Backward Class,RESAMPLED_BASELINE
Tiruppur,32,Rural,46,Female,2,2,3,Casual labour in agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,11873.0,Scheduled Caste,RESAMPLED_BASELINE
Krishnagiri,30,Rural,24,Male,1,5,4,Casual labour in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,17600.0,14542.0,Scheduled Caste,RESAMPLED_BASELINE
Thiruvarur,18,Rural,20,Female,2,4,12,Regular wage/salary earning,Literate,Secondary,Not in labour force,Not in labour force,0.0,58995.0,Scheduled Caste,RESAMPLED_BASELINE
Kallakurichi,34,Rural,69,Male,2,1,4,Casual labour in agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,6258.0,Scheduled Tribe,RESAMPLED_BASELINE
Tiruvannamalai,05,Rural,70,Male,2,1,2,Self-employed in agriculture,Literate,Primary,Employed,Employed,0.0,6203.0,Other Backward Class,RESAMPLED_BASELINE
Dharmapuri,29,Rural,38,Male,2,1,4,Casual labour in non-agriculture,Literate,Middle,Employed,Employed,0.0,8135.0,Scheduled Caste,RESAMPLED_BASELINE
Viluppuram,06,Rural,7,Female,1,5,6,Regular wage/salary earning,Literate,Below Primary,Not in labour force,Not in labour force,0.0,16725.0,Scheduled Caste,RESAMPLED_BASELINE
Madurai,22,Rural,26,Male,2,3,5,Self-employed in agriculture,Literate,Middle,Employed,Employed,0.0,10996.0,Scheduled Caste,RESAMPLED_BASELINE
Pudukkottai,20,Rural,13,Male,1,5,4,Regular wage/salary earning,Literate,Primary,Not in labour force,Not in labour force,0.0,12533.0,Other Backward Class,RESAMPLED_BASELINE
Karur,12,Rural,41,Female,2,2,3,Casual labour in agriculture,Literate,Primary,Employed,Employed,0.0,10140.0,Other Backward Class,RESAMPLED_BASELINE
Erode,09,Rural,12,Male,1,5,4,Casual labour in agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,13627.0,Scheduled Caste,RESAMPLED_BASELINE
Ranipet,35,Rural,10,Male,1,6,5,Regular wage/salary earning,Literate,Primary,Not in labour force,Not in labour force,0.0,9347.0,Other Backward Class,RESAMPLED_BASELINE
Dharmapuri,29,Rural,27,Male,1,5,5,Regular wage/salary earning,Literate,Diploma/Certificate,Employed,Employed,43600.0,14844.0,Other Backward Class,RESAMPLED_BASELINE
Tenkasi,33,Rural,80,Female,3,1,1,Others,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,2625.0,Scheduled Caste,RESAMPLED_BASELINE
