district,district_code,urban_rural,age,gender,marital_status,relationship_to_head,household_size,household_type,literacy_status,education_level,labour_force_status,employment_status,individual_income,consumption_expenditure,social_group,synthetic_data_label
Thanjavur,19,Urban,15,Female,1,1,1,Others,Literate,Secondary,Not in labour force,Not in labour force,0.0,2700.0,Other Backward Class,RESAMPLED_BASELINE
Thiruvallur,01,Urban,49,Male,3,1,2,Self-employed in non-agriculture,Literate,Middle,Employed,Employed,0.0,20833.0,Other Backward Class,RESAMPLED_BASELINE
Ariyalur,15,Rural,27,Female,2,4,10,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,13658.0,Scheduled Caste,RESAMPLED_BASELINE
Tiruvannamalai,05,Rural,41,Female,2,2,3,Regular wage/salary earning,Literate,Higher Secondary,Employed,Employed,10000.0,16292.0,Other Backward Class,RESAMPLED_BASELINE
Kancheepuram,03,Urban,27,Female,2,2,4,Self-employed in agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,7967.0,Other Backward Class,RESAMPLED_BASELINE
Thiruvallur,01,Rural,68,Female,3,1,1,Casual labour in non-agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,3395.0,Scheduled Caste,RESAMPLED_BASELINE
Tiruvannamalai,05,Urban,49,Male,2,1,4,Self-employed in agriculture,Literate,Middle,Employed,Employed,0.0,8477.0,Other Backward Class,RESAMPLED_BASELINE
Thoothukudi,26,Rural,6,Female,1,5,4,Casual labour in non-agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,9308.0,Other Backward Class,RESAMPLED_BASELINE
Namakkal,08,Urban,45,Female,2,2,2,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,7050.0,Scheduled Caste,RESAMPLED_BASELINE
Erode,09,Rural,24,Female,1,5,3,Regular wage/salary earning,Literate,Diploma/Certificate,Employed,Employed,9000.0,14085.0,Other Backward Class,RESAMPLED_BASELINE
Tiruchirappalli,13,Rural,18,Male,1,5,4,Casual labour in non-agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,11317.0,Scheduled Caste,RESAMPLED_BASELINE
Dharmapuri,29,Rural,31,Female,2,2,4,Casual labour in non-agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,10267.0,Other Backward Class,RESAMPLED_BASELINE
Dindigul,11,Rural,60,Female,2,2,3,Others,Literate,Below Primary,Not in labour force,Not in labour force,0.0,5330.0,Scheduled Caste,RESAMPLED_BASELINE
Thanjavur,19,Urban,3,Male,1,5,2,Others,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,53048.0,Other Backward Class,RESAMPLED_BASELINE
Salem,07,Rural,66,Male,2,7,3,Regular wage/salary earning,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,9633.0,Other Backward Class,RESAMPLED_BASELINE
Salem,07,Urban,42,Male,2,3,5,Self-employed in non-agriculture,Literate,Primary,Employed,Employed,0.0,23492.0,Other Backward Class,RESAMPLED_BASELINE
Thiruvarur,18,Rural,65,Female,2,2,6,Regular wage/salary earning,Literate,Primary,Not in labour force,Not in labour force,0.0,23328.0,Other Backward Class,RESAMPLED_BASELINE
Madurai,22,Rural,42,Male,2,3,4,Casual labour in non-agriculture,Literate,Secondary,Employed,Employed,0.0,6815.0,Other Backward Class,RESAMPLED_BASELINE
Tiruchirappalli,13,Rural,24,Female,2,2,3,Regular wage/salary earning,Literate,Diploma/Certificate,Employed,Employed,6500.0,10300.0,Other Backward Class,RESAMPLED_BASELINE
Tiruppur,32,Rural,18,Male,1,5,3,Self-employed in non-agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,27903.0,Other Backward Class,RESAMPLED_BASELINE
Sivaganga,21,Rural,18,Female,1,5,3,Self-employed in agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,9750.0,Other Backward Class,RESAMPLED_BASELINE
Salem,07,Urban,31,Female,2,2,4,Self-employed in non-agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,19471.0,Other Backward Class,RESAMPLED_BASELINE
Krishnagiri,30,Rural,78,Female,3,1,1,Others,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,3016.0,Other Backward Class,RESAMPLED_BASELINE
Chennai,02,Urban,32,Female,2,2,4,Self-employed in non-agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,18262.0,Other Backward Class,RESAMPLED_BASELINE
Salem,07,Rural,45,Female,2,2,6,Regular wage/salary earning,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,17333.0,Other Backward Class,RESAMPLED_BASELINE
Sivaganga,21,Urban,48,Female,3,4,3,Self-employed in non-agriculture,Literate,Higher Secondary,Employed,Employed,11000.0,8688.0,Other Backward Class,RESAMPLED_BASELINE
Erode,09,Urban,45,Male,2,1,4,Self-employed in agriculture,Illiterate,Not literate,Employed,Employed,0.0,16418.0,Other Backward Class,RESAMPLED_BASELINE
Sivaganga,21,Rural,71,Male,3,7,3,Self-employed in non-agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,9427.0,Other Backward Class,RESAMPLED_BASELINE
Namakkal,08,Rural,7,Female,1,5,4,Regular wage/salary earning,Literate,Below Primary,Not in labour force,Not in labour force,0.0,9146.0,Other Backward Class,RESAMPLED_BASELINE
Thanjavur,19,Urban,5,Male,1,6,5,Others,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,33156.0,Other Backward Class,RESAMPLED_BASELINE
Madurai,22,Rural,52,Female,2,2,3,Casual labour in non-agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,10122.0,Other Backward Class,RESAMPLED_BASELINE
Namakkal,08,Rural,21,Female,1,5,4,Casual labour in agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,7972.0,Scheduled Caste,RESAMPLED_BASELINE
Thanjavur,19,Urban,62,Female,2,2,5,Self-employed in agriculture,Literate,Middle,Employed,Employed,0.0,19017.0,Other Backward Class,RESAMPLED_BASELINE
Ariyalur,15,Rural,75,Male,2,1,2,Others,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,3958.0,Other Backward Class,RESAMPLED_BASELINE
Salem,07,Rural,16,Female,1,5,3,Casual labour in non-agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,10529.0,Other Backward Class,RESAMPLED_BASELINE
Erode,09,Rural,36,Female,2,2,4,Regular wage/salary earning,Literate,Higher Secondary,Employed,Employed,0.0,15755.0,Other Backward Class,RESAMPLED_BASELINE
Thanjavur,19,Urban,64,Male,2,1,2,Others,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,5085.0,Other Backward Class,RESAMPLED_BASELINE
Chennai,02,Urban,52,Female,2,2,6,Self-employed in agriculture,Illiterate,Not literate,Employed,Employed,4750.0,17122.0,Scheduled Caste,RESAMPLED_BASELINE
Thanjavur,19,Rural,30,Female,2,2,4,Regular wage/salary earning,Literate,Diploma/Certificate,Unemployed,Unemployed,1000.0,12220.0,Scheduled Caste,RESAMPLED_BASELINE
Tenkasi,33,Urban,13,Male,1,5,4,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,50627.0,Other Backward Class,RESAMPLED_BASELINE
Viluppuram,06,Rural,35,Male,2,3,7,Casual labour in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,0.0,9800.0,Scheduled Caste,RESAMPLED_BASELINE
Mayiladuthurai,38,Rural,28,Female,2,3,7,Self-employed in non-agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,27109.0,Other Backward Class,RESAMPLED_BASELINE
Pudukkottai,20,Urban,65,Male,2,1,2,Self-employed in non-agriculture,Literate,Middle,Employed,Employed,9500.0,9072.0,Scheduled Caste,RESAMPLED_BASELINE
Chennai,02,Urban,50,Female,2,2,2,Regular wage/salary earning,Literate,Primary,Employed,Employed,8030.0,7483.0,Other Backward Class,RESAMPLED_BASELINE
Namakkal,08,Rural,50,Male,2,1,4,Regular wage/salary earning,Literate,Primary,Employed,Employed,14000.0,10667.0,Other Backward Class,RESAMPLED_BASELINE
Kanniyakumari,28,Urban,27,Male,2,3,7,Regular wage/salary earning,Literate,Higher Secondary,Employed,Employed,0.0,17003.0,Other Backward Class,RESAMPLED_BASELINE
Kancheepuram,03,Rural,40,Male,2,3,5,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,0.0,10620.0,Other Backward Class,RESAMPLED_BASELINE
Cuddalore,16,Urban,6,Male,1,5,3,Self-employed in non-agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,17550.0,Other Backward Class,RESAMPLED_BASELINE
Viluppuram,06,Urban,42,Male,2,1,4,Self-employed in non-agriculture,Literate,Primary,Employed,Employed,12000.0,7492.0,Other Backward Class,RESAMPLED_BASELINE
Thoothukudi,26,Rural,17,Female,1,5,5,Casual labour in non-agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,16432.0,Other Backward Class,RESAMPLED_BASELINE
Chennai,02,Urban,27,Male,1,5,3,Self-employed in agriculture,Literate,Diploma/Certificate,Unemployed,Unemployed,0.0,17419.0,Other Backward Class,RESAMPLED_BASELINE
Salem,07,Rural,25,Male,1,5,4,Casual labour in non-agriculture,Literate,Higher Secondary,Employed,Employed,0.0,12167.0,Other Backward Class,RESAMPLED_BASELINE
Ranipet,35,Urban,62,Female,3,1,1,Self-employed in agriculture,Literate,Below Primary,Employed,Employed,0.0,2360.0,Other Backward Class,RESAMPLED_BASELINE
Pudukkottai,20,Rural,53,Male,2,1,3,Self-employed in non-agriculture,Literate,Middle,Employed,Employed,0.0,7452.0,Other Backward Class,RESAMPLED_BASELINE
Salem,07,Urban,49,Male,2,1,4,Self-employed in non-agriculture,Literate,Middle,Employed,Employed,13000.0,11117.0,Other Backward Class,RESAMPLED_BASELINE
Chennai,02,Urban,66,Male,2,1,2,Regular wage/salary earning,Literate,Below Primary,Employed,Employed,0.0,7483.0,Other Backward Class,RESAMPLED_BASELINE
