state_code,state_name,district_code,district_name,source_id,reference_year,boundary_notes
33,Tamil Nadu,01,Thiruvallur,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,02,Chennai,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,03,Kancheepuram,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,04,Vellore,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,05,Tiruvannamalai,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,06,Viluppuram,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,07,Salem,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,08,Namakkal,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,09,Erode,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,10,The Nilgiris,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,11,Dindigul,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,12,Karur,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,13,Tiruchirappalli,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,14,Perambalur,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,15,Ariyalur,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,16,Cuddalore,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,17,Nagapattinam,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,18,Thiruvarur,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,19,Thanjavur,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,20,Pudukkottai,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,21,Sivaganga,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,22,Madurai,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,23,Theni,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,24,Virudhunagar,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,25,Ramanathapuram,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,26,Thoothukudi,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,27,Tirunelveli,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,28,Kanniyakumari,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,29,Dharmapuri,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,30,Krishnagiri,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,31,Coimbatore,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,32,Tiruppur,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,33,Tenkasi,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,34,Kallakurichi,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,35,Ranipet,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,36,Tirupathur,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
33,Tamil Nadu,38,Mayiladuthurai,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,2024,PLFS 2024 district code table; reconcile known boundary/code issues before exact district calibration.
